Altium Designer Pick and Place Locations
C:\y_partition\project\CURT\pcb project\curt-Sensor Interface Board\Project Outputs for curt-Sensor Interface Board\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       05-09-26
Time:       00:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment               Layer    Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
J2         HTSW-101-07-S-T       TopLayer SAMTEC_HTSW-101-07-S-T -157.500      -546.385      0        "Connector Header Through Hole 3 position"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
VR2        AMS1117-3.3           TopLayer SOT229P700X180-4N      -485.000      -780.000      180      "Linear Voltage Regulator IC Positive Fixed 1 Output 1A SOT-223-3L"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Z3         MMSZ5226BT1G          TopLayer DIO_MMSZ5226BT1G       -900.000      -1095.000     270      "Zener Diode 3.3 V 500 mW Â±5% Surface Mount SOD-123"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Z2         1SMB5922BT3G          TopLayer DIOM5436X247N          -1030.000     -1100.000     270      "Zener Diode 7.5 V 3 W Â±5% Surface Mount SMB"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Z1         1SMB5934BT3G          TopLayer DIOM5436X247N          -1205.000     -1100.000     270      "Diode, Zener, Vr 24V, If 200mA, Pkg SMB, Vf 1.5V, Tj +150degc, Pd 3W, Ir 15.6mA"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
VR1        LM317T/NOPB           TopLayer TO254P1054X470X1955-3  -890.000      -260.000      0        "Linear Voltage Regulator IC Positive Adjustable 1 Output 1.5A TO-220-3"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
R13        RC0805FR-7W330RL      TopLayer RESC2012X60N           -697.598      -1170.000     0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R12        RC0805FR-7W330RL      TopLayer RESC2012X60N           -675.000      -1355.000     0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R11        RC0805FR-7W330RL      TopLayer RESC2012X60N           -515.000      -1360.000     180      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R10        RC0805FR-7W330RL      TopLayer RESC2012X60N           -547.598      -1170.000     180      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R9         RC0805FR-7W330RL      TopLayer RESC2012X60N           -1325.000     -925.000      90       ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R8         RC0805FR-7W330RL      TopLayer RESC2012X60N           -542.598      -1520.000     0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R7         RC0805FR-7W330RL      TopLayer RESC2012X60N           -857.402      -1320.000     0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R6         RC0805FR-7W330RL      TopLayer RESC2012X60N           -1040.000     -1315.000     0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R5         RC0805FR-7W330RL      TopLayer RESC2012X60N           -1210.000     -1330.000     0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R4         RC0805FR-7W330RL      TopLayer RESC2012X60N           -440.000      -280.000      180      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R3         RC0805FR-7W330RL      TopLayer RESC2012X60N           -590.000      -280.000      0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R2         N6-L50T0C-103         TopLayer TRIM_N6-L50T0C-103     -975.000      -600.000      180      "10 kOhms 0.1W, 1/10W PC Pins Through Hole Trimmer Potentiometer Carbon 1.0 Turn Top Adjustment"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
R1         RC0805FR-7W330RL      TopLayer RESC2012X60N           -620.000      -170.000      90       ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
LED4       "Infrared, 1.5V, 35°" TopLayer WL-TIRW_D3.9H5.3       -195.000      -90.000       180      "WL-TIRW THT Infrared Round Waterclear, D3.9 x H5.3mm, 60mW/sr, Infrared, 1.5V, 35°"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
LED3       "Infrared, 1.5V, 35°" TopLayer WL-TIRW_D3.9H5.3       -1460.000     -930.000      270      "WL-TIRW THT Infrared Round Waterclear, D3.9 x H5.3mm, 60mW/sr, Infrared, 1.5V, 35°"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
LED2       "Infrared, 1.5V, 35°" TopLayer WL-TIRW_D3.9H5.3       -380.000      -90.000       180      "WL-TIRW THT Infrared Round Waterclear, D3.9 x H5.3mm, 60mW/sr, Infrared, 1.5V, 35°"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ON-OFF     "Infrared, 1.5V, 35°" TopLayer WL-TIRW_D3.9H5.3       -1460.000     -745.000      90       "WL-TIRW THT Infrared Round Waterclear, D3.9 x H5.3mm, 60mW/sr, Infrared, 1.5V, 35°"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
L3         TLLR4400              TopLayer LED3MM                 -870.000      -1480.000     0        "Red 619nm LED Indication - Discrete 1.9V Radial"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L2         TLLR4400              TopLayer LED3MM                 -1045.000     -1475.000     0        "Red 619nm LED Indication - Discrete 1.9V Radial"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L1         TLLR4400              TopLayer LED3MM                 -1210.000     -1470.000     0        "Red 619nm LED Indication - Discrete 1.9V Radial"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
J5         B4B-PH-K              TopLayer JST_B4B-PH-K           -108.346      -1265.000     90       "Connector Header Through Hole 4 position 0.079 (2.00mm)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
J4         B4B-PH-K              TopLayer JST_B4B-PH-K           -1455.000     -1278.110     270      "Connector Header Through Hole 4 position 0.079 (2.00mm)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
J1         1715721               TopLayer CONN_1715721_PXC       -1320.000     -345.000      90       "PCB terminal block, nominal current: 17.5 A, rated voltage (III/2): 400 V, nominal cross section: 1.5 mmÂ², number of potentials: 2, number of rows: 1, number of positions per row: 2, product range: MKDS 1,5, pitch: 5.08 mm, connection method: Screw connection with tension sleeve, screw head form: L Slotted, mounting: Wave soldering, conductor/PCB connection direction: 0 Â°, color: green, Pin layout: Linear pinning, Solder pin [P]: 3.5 mm, number of solder pins per potential: 1, type of packaging: packed in cardboard. The article can be aligned to create different nos. of positions!" 
HS1        577202B04000G         TopLayer HSINK_577202B04000G    -920.000      -85.000       0        "Heat Sink Passive TO-220 Slim Channel Screw Mount Aluminum 24.4°C/W Black Anodized"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
F1         0154007.DR            TopLayer FUSE_0154007.DR        -355.000      -1330.000     90       "Fuse SMD NANO2 7A FF w/holder"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
